ANOS,POPULAÇÃO
1980,118.562.549
1981,121.381.328
1982,124.250.840
1983,127.140.354
1984,130.082.524
1985,132.999.282
1986,135.814.249
1987,138.585.894
1988,141.312.997
1989,143.997.246
1990,146.592.579
1991,149.094.266
1992,151.546.843
1993,153.985.576
1994,156.430.949
1995,158.874.963
1996,161.323.169
1997,163.779.827
1998,166.252.088
1999,168.753.552
2000,171.279.882
2001,173.808.010
2002,176.303.919
2003,178.741.412
2004,181.105.601
2005,183.383.216
2006,185.564.212
2007,187.641.714
2008,189.612.814
2009,191.480.630
2010,193.252.604
2011,194.932.685
2012,196.526.293
2013,198.043.320
2014,199.492.433
2015,200.881.685
2016,202.219.061
2017,203.510.422
2018,204.759.993
2019,205.970.182
2020,207.143.243
2021,208.280.241
2022,209.380.331
2023,210.441.362
2024,211.459.352
2025,212.430.049
2026,213.348.475
2027,214.209.414
2028,215.008.982
2029,215.743.582
2030,216.410.030
2031,217.004.993
2032,217.526.053
2033,217.972.789
2034,218.345.419
2035,218.644.711
2036,218.870.898
2037,219.024.784
2038,219.108.650
2039,219.124.700
2040,219.075.130
2041,218.960.969
2042,218.783.084
2043,218.543.546
2044,218.244.527
2045,217.888.409
2046,217.476.404
2047,217.009.177
2048,216.488.045
2049,215.913.883
2050,215.287.463